"image.src","image.text","name.href","name.text","index","url"
"http://static.rada.gov.ua/dep_img7/but20.jpg","","http://itd.rada.gov.ua/mps/info/expage/12265/8","Власенко Сергій Володимирович","69","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d153_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15807/8","Вознюк Юрій Володимирович","70","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/reg64.jpg","","http://itd.rada.gov.ua/mps/info/expage/8740/8","Волков Олександр Анатолійович","71","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d158_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/2513/8","Волков Олександр Михайлович","72","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/reg26.jpg","","http://itd.rada.gov.ua/mps/info/expage/8741/8","Воропаєв Юрій Миколайович","73","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/reg74.jpg","","http://itd.rada.gov.ua/mps/info/expage/5610/8","Гайдош Іштван Ференцович","74","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/kpu34.jpg","","http://itd.rada.gov.ua/mps/info/expage/17567/8","Ганчуков Олександр Костянтинович","75","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/sv15.jpg","","http://itd.rada.gov.ua/mps/info/expage/15709/8","Гелевей Олег Іванович","76","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/kpu31.jpg","","http://itd.rada.gov.ua/mps/info/expage/15698/8","Герасимчук Михайло Іванович","77","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/ud6.jpg","","http://itd.rada.gov.ua/mps/info/expage/11121/8","Геращенко Ірина Володимирівна","78","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d192_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15827/8","Герега Олександр Володимирович","79","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d131_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15797/8","Гержов Юрій Іванович","80","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/reg13.jpg","","http://itd.rada.gov.ua/mps/info/expage/8745/8","Герман Ганна Миколаївна","81","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/reg29.jpg","","http://itd.rada.gov.ua/mps/info/expage/8746/8","Гєллєр Євгеній Борисович","82","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/ud20.jpg","","http://itd.rada.gov.ua/mps/info/expage/15675/8","Гінка Ярослав Ярославович","83","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d179_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/5606/8","Гіршфельд Анатолій Мусійович","84","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d89_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/13683/8","Гладій Василь Іванович","85","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
